KEYid,School Name,State,City,School Ranking,ACT Avg,SAT Avg,HS GPA Avg,Total Enrollment,Acceptance Rate,Percent Receiving Aid,Cost after Aid,Total Tuiton,Is Public?
2290,Michigan State University,MI,East Lansing,81,24,990,3.7,39090,66.00%,5.00%,47279,39405,TRUE
2972,North Carolina State University--Raleigh,NC,Raleigh,81,27,1170,3.7,23847,46.00%,41.00%,25623,27406,TRUE
1321,University of California--Santa Cruz,CA,Santa Cruz,81,23,1060,3.7,16962,59.00%,18.00%,47616,42042,TRUE
1431,University of Delaware,DE,Newark,81,23,1090,3.7,18374,65.00%,0.00%,,32250,TRUE
2836,Binghamton University--SUNY,NY,Binghamton,87,28,1230,3.7,13632,41.00%,54.00%,29356,24403,TRUE
1371,University of Denver,CO,Denver,87,26,1110,3.7,5754,53.00%,40.00%,31393,48669,TRUE
3185,University of Tulsa,OK,Tulsa,87,26,1120,3.9,3406,37.00%,15.00%,49957,39502,TRUE
1809,Indiana University--Bloomington,IN,Bloomington,90,24,1060,3.7,39184,79.00%,16.00%,37563,34845,TRUE
3863,Marquette University,WI,Milwaukee,90,24,1040,,8238,74.00%,55.00%,32894,39900,TRUE
1370,University of Colorado--Boulder,CO,Boulder,90,25,1070,3.7,27846,77.00%,12.00%,41125,35079,TRUE
10395,University of San Diego,CA,San Diego,90,26,1100,3.9,5711,51.00%,48.00%,36861,47708,TRUE
3256,Drexel University,PA,Philadelphia,94,25,1080,3.7,13251,75.00%,54.00%,42176,52002,TRUE
2506,Saint Louis University,MO,St. Louis,94,24,1120,3.9,7454,65.00%,51.00%,28328,42166,TRUE
2903,Yeshiva University,NY,New York,94,23,1090,3.5,2714,51.00%,46.00%,34756,42000,TRUE
2806,Rochester Institute of Technology,NY,Rochester,97,26,1140,,12410,55.00%,70.00%,31793,40068,TRUE
2838,Stony Brook University--SUNY,NY,Stony Brook,97,26,1150,3.8,17026,41.00%,13.00%,34024,26297,TRUE
